userId,movieId,rating,timestamp
1,16,4.0,1217897793
1,24,1.5,1217895807
1,32,4.0,1217896246
1,47,4.0,1217896556
1,50,4.0,1217896523
1,110,4.0,1217896150
1,150,3.0,1217895940
1,161,4.0,1217897864
1,165,3.0,1217897135
1,204,0.5,1217895786
1,223,4.0,1217897795
1,256,0.5,1217895764
1,260,4.5,1217895864
1,261,1.5,1217895750
1,277,0.5,1217895772
1,296,4.0,1217896125
1,318,4.0,1217895860
1,349,4.5,1217897058
1,356,3.0,1217896231
1,377,2.5,1217896373
1,380,3.0,1217896030
1,457,4.0,1217896015
1,480,3.5,1217895972
1,527,4.5,1217896341
1,589,3.5,1217896078
1,590,3.5,1217896038
1,592,2.5,1217896043
1,593,5.0,1217895932
1,597,3.0,1217897176
1,608,3.5,1217896319
1,648,3.5,1217896397
1,719,0.5,1217895799
1,724,3.5,1217895794
1,736,3.0,1217896621
1,780,3.5,1217895969
1,858,5.0,1217896428
1,912,5.0,1217897623
1,968,4.5,1217897263
1,1061,4.0,1217895811
1,1089,4.5,1217897621
1,1136,5.0,1217897630
1,1196,4.5,1217896095
1,1198,4.0,1217896450
1,1210,4.5,1217895912
1,1213,5.0,1217897617
1,1220,4.0,1217897823
1,1221,5.0,1217897613
1,1222,5.0,1217897625
1,1233,4.5,1217897648
1,1243,3.5,1217897427
1,1258,4.5,1217897678
1,1265,3.0,1217897107
1,1267,4.0,1217895768
1,1270,3.0,1217897006
1,1287,4.5,1217897783
1,1580,3.5,1217896279
1,1617,3.5,1217896636
1,1721,1.5,1217896210
1,1923,1.5,1217897087
1,1961,3.0,1217897157
1,2021,4.0,1217895796
1,2028,4.5,1217896291
1,2105,1.5,1217895783
1,2161,1.5,1217895776
1,2194,4.5,1217897671
1,2396,4.0,1217897010
1,2407,2.5,1217895736
1,2455,2.0,1217895762
1,2467,4.5,1217897780
1,2502,4.0,1217897700
1,2542,4.5,1217897667
1,2571,4.5,1217895908
1,2628,3.0,1217896237
1,2716,3.5,1217896417
1,2728,5.0,1217897681
1,2762,3.0,1217896143
1,2858,4.0,1217896098
1,2947,3.5,1217895742
1,2959,5.0,1217896334
1,3256,5.0,1217895803
1,3421,4.5,1217895728
1,3578,4.0,1217896402
1,4011,4.5,1217897657
1,4027,3.5,1217897174
1,4033,3.5,1217897841
1,4085,3.5,1217897858
1,4262,5.0,1217897697
1,4306,4.0,1217895903
1,4963,3.5,1217896313
1,4993,4.5,1217895872
1,4995,4.0,1217896614
1,5349,3.0,1217896286
1,5378,3.5,1217897078
1,5418,4.0,1217896980
1,5445,3.5,1217895979
1,5952,4.5,1217896346
1,6365,4.5,1217896386
1,6711,3.5,1217896498
1,6807,4.0,1217897777
1,7153,4.5,1217896065
1,8825,2.5,1217896490
1,8961,4.0,1217896012
1,32587,4.5,1217896582
1,33493,4.5,1217896473
1,33794,4.5,1217896007
1,33834,4.5,1217897409
1,45950,0.5,1217897813
1,48516,5.0,1217896206
1,48780,4.0,1217897632
1,49272,3.5,1217896576
1,52973,3.5,1217897820
1,54286,4.0,1217896447
1,57949,0.5,1217896004
2,1,5.0,859046895
2,3,2.0,859046959
2,5,3.0,859046959
2,14,4.0,859047091
2,17,5.0,859046896
2,25,3.0,859046896
2,32,3.0,859046895
2,36,5.0,859046959
2,52,4.0,859047004
2,58,4.0,859047004
2,62,5.0,859046896
2,79,4.0,859047091
2,95,4.0,859046895
2,112,3.0,859047004
2,260,4.0,859047004
2,376,4.0,859047004
2,494,4.0,859046959
2,608,5.0,859046959
2,637,3.0,859047091
2,648,4.0,859046895
2,661,4.0,859047091
2,736,4.0,859046895
2,780,4.0,859046895
2,784,2.0,859047004
2,788,4.0,859047004
2,802,4.0,859047091
2,805,5.0,859047091
2,1073,4.0,859046959
2,1356,4.0,859047091
3,5,3.0,841483936
3,7,3.0,841484087
3,11,4.0,841483689
3,21,5.0,841483620
3,34,5.0,841483604
3,36,4.0,841483842
3,39,4.0,841483634
3,45,5.0,841483936
3,50,5.0,841483620
3,105,3.0,841483842
3,141,3.0,841483766
3,144,4.0,841484203
3,150,4.0,841483462
3,165,3.0,841483481
3,185,3.0,841483561
3,222,5.0,841483950
3,223,5.0,841483859
3,232,4.0,841484075
3,246,5.0,841483900
3,261,3.0,841483782
3,272,5.0,841483888
3,277,4.0,841483859
3,281,3.0,841484049
3,292,3.0,841483527
3,296,5.0,841483462
3,300,4.0,841483584
3,339,3.0,841483545
3,342,5.0,841483916
3,345,5.0,841484049
3,348,3.0,841484174
3,349,3.0,841483481
3,350,3.0,841483677
3,356,3.0,841483545
3,357,4.0,841483677
3,367,4.0,841483604
3,368,3.0,841483822
3,373,3.0,841484220
3,377,3.0,841483604
3,380,3.0,841483463
3,410,3.0,841483584
3,417,4.0,841484158
3,454,3.0,841483561
3,457,4.0,841483501
3,471,3.0,841483950
3,477,4.0,841483987
3,480,4.0,841483561
3,485,3.0,841483859
3,497,4.0,841483875
3,500,4.0,841483620
3,508,3.0,841483782
3,509,5.0,841483708
3,515,5.0,841483859
3,527,4.0,841483658
3,529,5.0,841483968
3,532,3.0,841484049
3,537,3.0,841484247
3,538,4.0,841484316
3,539,3.0,841483658
3,586,4.0,841483634
3,587,3.0,841483634
3,588,3.0,841483481
3,589,3.0,841483584
3,590,4.0,841483461
3,592,3.0,841483460
3,593,5.0,841483501
3,595,4.0,841483501
3,597,3.0,841483634
3,608,5.0,841483900
3,613,4.0,848052408
3,648,4.0,841483842
3,736,3.0,841483822
3,800,5.0,841484158
3,1161,4.0,848052408
4,30,4.0,950322938
4,32,5.0,950323750
4,111,4.0,950323208
4,154,4.0,950322965
4,213,4.0,950323441
4,296,4.0,950323526
4,306,5.0,950323967
4,307,5.0,950323407
4,308,5.0,950323915
4,318,4.0,950323355
4,509,3.0,950323662
4,527,4.0,950322655
4,573,4.0,950323585
4,593,4.0,950323141
4,608,4.0,950323165
4,858,5.0,950322891
4,898,4.0,950323675
4,899,5.0,950323707
4,904,4.0,950323141
4,905,5.0,950323027
4,909,4.0,950323771
4,910,5.0,950323049
4,912,5.0,950323006
4,913,5.0,950323285
4,916,4.0,950323250
4,919,5.0,950323407
4,922,5.0,950324518
4,928,4.0,950323087
4,936,4.0,950323317
4,937,5.0,950323355
4,940,5.0,950323317
4,943,4.0,950323729
4,945,4.0,950322859
4,946,4.0,950323285
4,947,4.0,950323317
4,951,5.0,950323638
4,1085,5.0,950322829
4,1094,4.0,950323087
4,1176,4.0,950323355
4,1185,4.0,950323796
4,1186,3.0,950323662
4,1196,4.0,950323441
4,1203,5.0,950323355
4,1204,5.0,950323087
4,1207,5.0,950323481
4,1209,4.0,950323513
4,1219,3.0,950323141
