userId,movieId,tag,timestamp
12,16,20060407,1144396544
12,16,robert de niro,1144396554
12,16,scorcese,1144396564
17,64116,movie to see,1234720092
21,260,action,1428011080
21,260,politics,1428011080
21,260,science fiction,1428011080
21,296,dark humor,1428788132
21,296,drugs,1428788132
21,296,philosophical,1428788132
21,527,drama,1429825935
21,527,music,1429825935
21,527,world war ii,1429825935
21,2571,computers,1431214966
21,2571,fighting,1431214966
21,2571,simulated reality,1431214966
21,61160,Kid movie,1431220165
38,8961,Michael Giacchino,1406491603
38,34332,Michael Giacchino,1406491696
38,50872,Michael Giacchino,1406491749
38,58559,Batman,1403016331
38,58559,dark,1403016343
38,58559,Heath Ledger,1403016328
38,58559,Morgan Freeman,1403016510
38,68358,Michael Giacchino,1406491815
38,68954,Michael Giacchino,1406491875
54,858,classic,1146942951
59,27611,religion,1439197160
59,62336,Not a movie,1439121654
59,62336,not coherent,1439121717
59,62336,way over the top,1439121674
59,108583,british,1439608243
59,128991,short films,1439610251
60,832,It was melodramatic and kind of dumb,1162941097
60,3897,kind of slow,1162941073
63,2231,Matt Damon,1299479804
63,2231,poker,1299479806
63,8784,Great Soundtrack,1299476593
63,8784,Natalie Portman,1299476579
63,30707,Clint Eastwood,1299476991
63,30707,Morgan Freeman,1299476994
63,44974,controversial,1306569082
63,44974,disturbing,1306569076
63,44974,suspenseful,1306569088
63,55247,based on a book,1299476549
63,55247,great soundtrack,1299476553
63,55247,self discovery,1299476539
63,56788,afghanistan,1306569174
63,56788,arms dealer,1306569183
63,56788,based on a true story,1306569141
63,56788,CIA,1306569158
63,56788,cold war,1306569133
63,81562,danny boyle,1299476497
63,81562,James Franco,1299476496
63,81562,true story,1299476500
63,81562,wilderness,1299476519
63,81591,Natalie Portman,1299476679
63,81932,Amy Adams,1299476972
63,81932,boxing,1299476976
63,81932,Christian Bale,1299476962
63,82053,corruption,1299476426
63,82053,politics,1299476425
63,82053,true story,1299476420
63,82459,Matt Damon,1299477053
63,86345,stand-up comedy,1306569366
63,86377,stand-up comedy,1306569347
63,87096,Sex Addict,1306569004
63,87096,strippers,1306569004
63,87096,therapy,1306569014
78,82461,conspiracy theory,1422654643
78,82461,parent-children relationship,1422654643
78,82461,visually interesting--that's about it,1422654643
84,56949,full of stupid things,1437659384
84,56949,James Marsden,1437659436
84,56949,love story,1437659433
88,30820,Disturbing and moving,1137457335
113,84615,adultery,1312774182
113,84615,crack use,1312774158
113,84615,mildly funny,1312774193
128,29,atmospheric,1282437426
128,29,dreamlike,1282437439
128,29,dystopia,1282437442
128,29,steampunk,1282437432
128,29,surreal,1282437430
128,34,overrated,1270757631
128,69,Chris Tucker,1269563392
128,69,Ice Cube,1269563393
128,69,stupid last comment,1269563453
128,81,assassin,1420263121
128,81,friendship,1420263139
128,81,hit,1420263116
128,81,hitman,1420263119
128,81,mobsters,1420263114
128,81,organized crime,1420263110
128,81,revenge,1420263124
128,81,sacrifice,1420263145
128,101,crime,1362234193
128,101,crime gone awry,1362234198
128,101,friendship,1362234130
128,101,heist,1362234184
128,101,love,1362234141
128,101,mental illness,1362234136
128,101,motel,1362234148
128,101,off-beat comedy,1362234151
128,101,quirky,1362234114
128,101,slow,1362234170
128,101,sweet,1362234159
128,101,thieves,1362234181
128,160,nostalgia,1266762225
128,170,cheesy,1340419423
128,170,cyberpunk,1340419390
128,170,hacker,1340419398
128,170,hackers,1340419413
128,170,hacking,1340419384
128,170,high school,1340419410
128,170,inaccurate,1340419376
128,170,internet,1340419386
128,170,video games,1340419387
128,180,1990s,1340469990
128,180,crude humor,1340469986
128,180,good dialogue,1340470001
128,180,Jay and Silent Bob,1340469971
128,180,Kevin Smith,1340469973
128,185,computers,1325146698
128,185,conspiracy,1325146790
128,185,crime,1325146719
128,185,hacking,1325146699
128,185,inaccurate,1325146704
128,185,internet,1325146716
128,185,malware,1325146826
128,185,plot holes,1325146732
128,185,simplistic,1325146841
128,185,stupid,1325146848
128,185,trojan,1325146818
128,185,unrealistic,1325146707
128,198,characters,1281768927
128,198,future,1281768879
128,198,futuristic,1281768889
128,198,sci-fi,1281768815
128,198,stupid,1281768919
128,198,virtual reality,1281768816
128,223,crude humor,1273455939
128,223,cynical,1267961145
128,223,jay and silent bob,1273455900
128,223,slackers,1267961147
128,223,surreal,1267961125
128,223,view askew,1273455915
128,235,Biography,1325091307
128,235,black and white,1325091257
128,235,cross dressing,1325091317
128,235,movie business,1325091276
128,235,quirky,1325091275
128,235,true story,1325091266
128,318,friendship,1324784866
128,318,justice,1324784879
128,318,prison,1437111037
128,318,prison escape,1324784868
128,318,Stephen King,1324784858
128,318,wrongful imprisonment,1437111037
128,319,crime,1333951961
128,319,cynical,1333951977
128,319,disturbing,1333951992
128,349,black ops,1288907150
128,349,cia,1288907136
128,349,conspiracy,1288907141
128,349,drug cartels,1288907164
128,349,Harrison Ford,1288907116
128,349,jack ryan,1288907125
128,349,organized crime,1288907172
128,349,revenge,1288907180
128,349,thiller,1288907120
128,380,action,1287795052
128,380,Arnold Schwarzenegger,1287795055
128,380,Eliza Dushku,1287795057
128,380,espionage,1287795137
128,380,Jamie Lee Curtis,1287795047
128,380,mundane characters,1287795061
128,380,not ridiculous enough,1287795039
128,380,ridiculous,1287795115
128,380,shallow plot,1287795157
128,380,terrorism,1287795066
128,441,high school,1269730664
128,441,small town,1269730693
128,441,wired 50 greatest soundtracks,1269730657
128,481,atmospheric,1309288130
128,481,disturbing,1309288135
128,481,photography,1309288176
128,481,road trip,1309288118
128,481,serial killer,1309288107
128,481,tense,1309288110
128,481,writer,1309288166
128,481,writing,1309288171
128,555,brutal,1364751160
128,555,brutality,1364751159
128,555,cast,1364751143
128,555,characters,1364751233
128,555,Christian Slater,1364751147
128,555,drugs,1364751165
128,555,love,1364751193
128,555,organized crime,1364751184
